address,latitude_ori,longitude_ori,year,month,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"- CHAPEL HILL ROAD, BOOROLITE",-37.1397414,146.2285303,2013,11,2.0,1.0,0,3723,204011057,House,227.97163,23.16035,7.35747,16.96507,35.56825,21.35025,22.0466,,300.0
"- LOWER NEWRY ROAD, NEWRY",-37.9323406,146.9552242,2013,11,2.0,1.0,0,3859,205051101,House,223.66084,5.71742,6.50536,6.767939999999999,7.54355,7.42972,6.281770000000001,,230.0
"- LOWER NEWRY ROAD, NEWRY",-37.9323406,146.9552242,2013,12,2.0,1.0,0,3859,205051101,House,223.66084,5.71742,6.50536,6.767939999999999,7.54355,7.42972,6.281770000000001,,200.0
". NASH STREET, JAMIESON",-37.302651,146.138617,2013,9,2.0,1.0,0,3723,204011057,House,243.2568,5.112220000000001,0.20027,36.72106,50.85341,36.63541,0.08478,,175.0
".5528 CALDER HIGHWAY, BIG HILL",-36.8396187,144.23555733,2013,10,4.0,2.0,0,3555,202011022,House,140.35826999999998,,10.66523,11.91899,11.26906,,,,350.0
"010/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,2013,10,1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,1.32931,3.49174,2.208,,,3.96501,275.0
"04/1023 DANDENONG ROAD, MALVERN EAST",-37.881948,145.05148,2013,10,1.0,1.0,0,3145,208041195,Apartment,14.60342,0.37517,1.4221700000000002,3.48229,2.20027,,,3.20541,265.0
"1 / 130 FERNTREE GULLY ROAD, OAKLEIGH EAST",-37.898475,145.117219,2013,12,3.0,1.0,2,3166,212051326,House,22.17563,4.41734,1.60382,0.97035,3.49935,2.7983,3.26352,,450.0
"1 / 14 RAE STREET, BENDIGO",-36.752319,144.26092,2013,11,2.0,1.0,1,3550,202011018,House,152.12877,0.91062,1.07238,2.52789,3.72803,2.84185,2.22053,2.83048,185.0
"1 / 14 RAE STREET, BENDIGO",-36.752319,144.26092,2013,12,2.0,1.0,1,3550,202011018,Apartment,152.12877,0.91062,1.07238,2.52789,3.72803,2.84185,2.22053,2.83048,185.0
"1 / 142 MCKINNON ROAD, MCKINNON",-37.9110175,145.0371915,2013,6,2.0,1.0,1,3204,208021174,Apartment,16.96515,,1.97846,,0.08474,,0.7953,,400.0
"1 / 160 COMMERCIAL ROAD, KOROIT",-38.2915596,142.3632037,2013,3,2.0,2.0,1,3282,217041478,House,273.66991,0.94785,0.52039,25.75066,7.694949999999999,1.15885,0.42051,,240.0
"1 / 2 FRANCIS STREET, POREPUNKAH",-36.696613,146.910343,2013,7,1.0,1.0,1,3740,204031069,Apartment,308.75525,0.23383,0.40292,37.30663,0.50172,37.63518,7.23774,,170.0
"1 / 2 SALMON STREET, MENTONE",-37.978751,145.062228,2013,2,1.0,1.0,1,3194,208031190,Apartment,25.26515,1.0793,1.14798,,0.93241,,0.87659,1.81526,250.0
"1 / 23 EMBANKMENT GROVE, CHELSEA",-38.048004,145.117609,2013,5,2.0,1.0,1,3196,208031186,House,47.47045,2.18998,1.54597,2.97675,0.83877,,0.5917,,270.0
"1 / 23 EMBANKMENT GROVE, CHELSEA",-38.048004,145.117609,2013,12,2.0,1.0,1,3196,208031186,Apartment,47.47045,2.18998,1.54597,2.97675,0.83877,,0.5917,,270.0
"1 / 253 DANDENONG ROAD, PRAHRAN",-37.8588593,145.0011499,2013,6,2.0,1.0,1,3181,206061136,Apartment,8.62144,,1.71936,1.54887,1.11497,,1.51925,,430.0
"1 / 253 DANDENONG ROAD, PRAHRAN",-37.8588593,145.0011499,2013,7,2.0,1.0,1,3181,206061136,Apartment,8.62144,,1.71936,1.54887,1.11497,,1.51925,,430.0
"1 / 255 MONBULK ROAD, SILVAN",-37.823358,145.417976,2013,1,4.0,1.0,1,3795,211051279,House,49.74175,,0.32126,9.32774,,,7.312600000000001,,320.0
"1 / 255 MONBULK ROAD, SILVAN",-37.823358,145.417976,2013,5,4.0,1.0,1,3795,211051279,House,49.74175,,0.32126,9.32774,,,7.312600000000001,,290.0
"1 / 256 WILLIAMS ROAD, TOORAK",-37.842636,145.004488,2013,10,2.0,1.0,1,3142,206061138,Apartment,6.78345,1.85171,1.89482,,2.57084,,,,395.0
"1 / 256 WILLIAMS ROAD, TOORAK",-37.842636,145.004488,2013,11,2.0,1.0,1,3142,206061138,Apartment,6.78345,1.85171,1.89482,,2.57084,,,,350.0
"1 / 28 QUEENS PARADE, GLEN IRIS",-37.85246,145.092056,2013,1,3.0,1.0,1,3146,207011150,Apartment,14.50249,0.82114,3.03496,,1.64122,,,4.71847,345.0
"1 / 34 BISHOP STREET, KINGSVILLE",-37.81072,144.874925,2013,6,2.0,1.0,1,3012,213031350,Apartment,9.32832,2.08958,,,2.36014,,,,280.0
"1 / 40 NARETHA STREET, SWAN HILL",-35.332364,143.560625,2013,4,2.0,1.0,1,3585,215031404,Apartment,342.27706,0.31739,1.68072,0.94748,1.13329,1.37148,2.78032,,300.0
"1 / 40 NARETHA STREET, SWAN HILL",-35.332364,143.560625,2013,10,2.0,1.0,1,3585,215031404,Apartment,342.27706,0.31739,1.68072,0.94748,1.13329,1.37148,2.78032,,285.0
"1 / 40 NARETHA STREET, SWAN HILL",-35.332364,143.560625,2013,11,2.0,1.0,1,3585,215031404,Apartment,342.27706,0.31739,1.68072,0.94748,1.13329,1.37148,2.78032,,285.0
"1 / 47 CALDER STREET, MANIFOLD HEIGHTS",-38.144154,144.331284,2013,11,4.0,2.0,2,3218,203021040,House,77.46788000000001,4.29665,1.22481,2.84565,,,,,495.0
"1 / 49 WILSON STREET, CHELTENHAM",-37.961111,145.059196,2013,1,2.0,1.0,1,3192,208031188,Apartment,26.99314,1.4691500000000002,1.14024,2.14445,,,1.00424,0.95757,349.0
"1 / 6 RIPON GROVE, ELSTERNWICK",-37.88149643,144.99821472,2013,9,1.0,1.0,1,3185,208021179,Apartment,10.74616,,,,0.45996,,0.65661,,300.0
